Filename,Type,Date,Volume,Issue,Pages,OCR batch
HT0060096.pdf,Home Tidings,1885-05-09,6,96,16,1
HT0060097.pdf,Home Tidings,1885-05-16,6,97,16,1
HT0060098.pdf,Home Tidings,1885-05-23,6,98,16,1
HT0060099.pdf,Home Tidings,1885-05-30,6,99,16,1
HT0060100.pdf,Home Tidings,1885-06-06,6,100,20,1
HT0060101.pdf,Home Tidings,1885-06-13,6,101,16,1
HT0060102.pdf,Home Tidings,1885-06-20,6,102,16,1
HT0060103.pdf,Home Tidings,1885-06-27,6,103,12,1
HT0070104.pdf,Home Tidings,1885-07-04,7,104,16,1
HT0070105.pdf,Home Tidings,1885-07-11,7,105,16,1
HT0070106.pdf,Home Tidings,1885-07-18,7,106,16,1
HT0070107.pdf,Home Tidings,1885-07-25,7,107,16,1
HT0070108.pdf,Home Tidings,1885-08-01,7,108,16,1
HT0070109.pdf,Home Tidings,1885-08-08,7,109,16,1
HT0070110.pdf,Home Tidings,1885-08-15,7,110,16,1
HT0070111.pdf,Home Tidings,1885-08-22,7,111,20,1
HT0070112.pdf,Home Tidings,1885-08-29,7,112,16,1
HT0070113.pdf,Home Tidings,1885-09-05,7,113,16,1
HT0070114.pdf,Home Tidings,1885-09-12,7,114,16,1
HT0070115.pdf,Home Tidings,1885-09-19,7,115,16,1
HT0070116.pdf,Home Tidings,1885-09-26,7,116,16,1
HT0070117.pdf,Home Tidings,1885-10-03,7,117,16,1
HT0070118.pdf,Home Tidings,1885-10-10,7,118,20,1
HT0070119.pdf,Home Tidings,1885-10-17,7,119,20,1
HT0070120.pdf,Home Tidings,1885-10-24,7,120,20,1
HT0070121.pdf,Home Tidings,1885-10-31,7,121,24,1
HT0070122.pdf,Home Tidings,1885-11-07,7,122,24,1
HT0070123.pdf,Home Tidings,1885-11-14,7,123,24,1
HT0070124.pdf,Home Tidings,1885-11-21,7,124,28,1
HT0070125.pdf,Home Tidings,1885-11-28,7,125,24,1
HT0070126.pdf,Home Tidings,1885-12-05,7,126,24,1
HT0070127.pdf,Home Tidings,1885-12-12,7,127,24,1
HT0070128.pdf,Home Tidings,1885-12-19,7,128,28,1
HT0070129.pdf,Home Tidings,1885-12-26,7,129,16,1
HT0080130.pdf,Home Tidings,1886-01-02,8,130,16,1
HT0080131.pdf,Home Tidings,1886-01-09,8,131,20,1
HT0080132.pdf,Home Tidings,1886-01-16,8,132,20,1
HT0080133.pdf,Home Tidings,1886-01-23,8,133,24,1
HT0080134.pdf,Home Tidings,1886-01-30,8,134,24,1
HT0080135.pdf,Home Tidings,1886-02-06,8,135,28,1
HT0080136.pdf,Home Tidings,1886-02-13,8,136,28,1
HT0080137.pdf,Home Tidings,1886-02-20,8,137,28,1
HT0080138.pdf,Home Tidings,1886-02-27,8,138,28,1
HT0080139.pdf,Home Tidings,1886-03-06,8,139,24,1
HT0080140.pdf,Home Tidings,1886-03-13,8,140,28,1
HT0080141.pdf,Home Tidings,1886-03-20,8,141,24,1
HT0080142.pdf,Home Tidings,1886-03-27,8,142,24,1
HT0080143.pdf,Home Tidings,1886-04-03,8,143,24,1
HT0080144.pdf,Home Tidings,1886-04-10,8,144,24,1
HT0080145.pdf,Home Tidings,1886-04-17,8,145,20,1
HT0080146.pdf,Home Tidings,1886-04-24,8,146,16,1
HT0080147.pdf,Home Tidings,1886-05-01,8,147,18,1
HT0080148.pdf,Home Tidings,1886-05-08,8,148,24,1
HT0080149.pdf,Home Tidings,1886-05-15,8,149,20,1
HT0080150.pdf,Home Tidings,1886-05-22,8,150,20,1
HT0080151.pdf,Home Tidings,1886-05-29,8,151,16,1
HT0080152.pdf,Home Tidings,1886-06-05,8,152,16,1
HT0080153.pdf,Home Tidings,1886-06-12,8,153,16,1
HT0080154.pdf,Home Tidings,1886-06-19,8,154,16,1
HT0080155.pdf,Home Tidings,1886-06-26,8,155,16,1
HT0090156.pdf,Home Tidings,1886-07-03,9,156,16,1
HT0090157.pdf,Home Tidings,1886-07-10,9,157,16,1
HT0090158.pdf,Home Tidings,1886-07-17,9,158,16,1
HT0090159.pdf,Home Tidings,1886-07-24,9,159,16,1
HT0090160.pdf,Home Tidings,1886-07-31,9,160,16,1
HT0090161.pdf,Home Tidings,1886-08-07,9,161,16,1
HT0090162.pdf,Home Tidings,1886-08-14,9,162,16,1
HT0090163.pdf,Home Tidings,1886-08-21,9,163,16,1
HT0090164.pdf,Home Tidings,1886-08-28,9,164,20,1
HT0090165.pdf,Home Tidings,1886-09-04,9,165,16,1
HT0090166.pdf,Home Tidings,1886-09-11,9,166,16,1
HT0090167.pdf,Home Tidings,1886-09-18,9,167,16,1
HT0090168.pdf,Home Tidings,1886-09-25,9,168,16,1
HT0090169.pdf,Home Tidings,1886-10-02,9,169,16,1
HT0090170.pdf,Home Tidings,1886-10-09,9,170,16,1
HT0090171.pdf,Home Tidings,1886-10-16,9,171,16,1
HT0090172.pdf,Home Tidings,1886-10-23,9,172,8,1
HT0090173.pdf,Home Tidings,1886-10-30,9,173,8,1
HT0090174.pdf,Home Tidings,1886-11-06,9,174,8,1
HT0090175.pdf,Home Tidings,1886-11-13,9,175,8,1
HT0090176.pdf,Home Tidings,1886-11-20,9,176,8,1
HT0090177.pdf,Home Tidings,1886-11-27,9,177,8,1
HT0090178.pdf,Home Tidings,1886-12-04,9,178,8,1
HT0090179.pdf,Home Tidings,1886-12-11,9,179,8,1
HT0090180.pdf,Home Tidings,1886-12-18,9,180,8,1
HT0090181.pdf,Home Tidings,1886-12-25,9,181,12,1
HT0100182.pdf,Home Tidings,1887-01-01,10,182,8,1
HT0100183.pdf,Home Tidings,1887-01-08,10,183,8,1
HT0100184.pdf,Home Tidings,1887-01-15,10,184,8,1
HT0100185.pdf,Home Tidings,1887-01-22,10,185,8,1
HT0100186.pdf,Home Tidings,1887-01-29,10,186,8,1
HT0100187.pdf,Home Tidings,1887-02-05,10,187,8,1
HT0100188.pdf,Home Tidings,1887-02-12,10,188,8,1
HT0100189.pdf,Home Tidings,1887-02-19,10,189,8,1
HT0100190.pdf,Home Tidings,1887-02-26,10,190,8,1
HT0100191.pdf,Home Tidings,1887-03-05,10,191,8,1
HT0100192.pdf,Home Tidings,1887-03-12,10,192,8,1
HT0100193.pdf,Home Tidings,1887-03-19,10,193,16,1
HT0100194.pdf,Home Tidings,1887-03-26,10,194,8,1
HT0100195.pdf,Home Tidings,1887-04-02,10,195,8,2
HT0100196.pdf,Home Tidings,1887-04-09,10,196,8,2
HT0100197.pdf,Home Tidings,1887-04-16,10,197,8,2
HT0100198.pdf,Home Tidings,1887-04-23,10,198,8,2
HT0100199.pdf,Home Tidings,1887-04-30,10,199,8,2
HT0100200.pdf,Home Tidings,1887-05-07,10,200,8,2
HT0100201.pdf,Home Tidings,1887-05-14,10,201,8,2
HT0100202.pdf,Home Tidings,1887-05-21,10,202,8,2
HT0100203.pdf,Home Tidings,1887-05-28,10,203,8,2
HT0100204.pdf,Home Tidings,1887-06-04,10,204,8,2
HT0100205.pdf,Home Tidings,1887-06-11,10,205,8,2
HT0100206.pdf,Home Tidings,1887-06-18,10,206,8,2
HT0100207.pdf,Home Tidings,1887-06-25,10,207,8,2
HT0110208.pdf,Home Tidings,1887-07-02,11,208,8,2
HT0110209.pdf,Home Tidings,1887-07-09,11,209,8,2
HT0110210.pdf,Home Tidings,1887-07-16,11,210,8,2
HT0110211.pdf,Home Tidings,1887-07-23,11,211,8,2
HT0110212.pdf,Home Tidings,1887-07-30,11,212,8,2
HT0110213.pdf,Home Tidings,1887-08-06,11,213,12,2
HT0110214.pdf,Home Tidings,1887-08-13,11,214,8,2
HT0110215.pdf,Home Tidings,1887-08-20,11,215,8,2
HT0110216.pdf,Home Tidings,1887-08-27,11,216,8,2
HT0110217.pdf,Home Tidings,1887-09-03,11,217,8,2
HT0110218.pdf,Home Tidings,1887-09-10,11,218,8,2
HT0110219.pdf,Home Tidings,1887-09-17,11,219,8,2
HT0110220.pdf,Home Tidings,1887-09-24,11,220,8,2
HT0110221.pdf,Home Tidings,1887-10-01,11,221,8,2
HT0110222.pdf,Home Tidings,1887-10-08,11,222,12,2
HT0110223.pdf,Home Tidings,1887-10-15,11,223,8,2
HT0110224.pdf,Home Tidings,1887-10-22,11,224,8,2
HT0110225.pdf,Home Tidings,1887-10-29,11,225,8,2
HT0110226.pdf,Home Tidings,1887-11-05,11,226,8,2
HT0110227.pdf,Home Tidings,1887-11-12,11,227,8,2
HT0110228.pdf,Home Tidings,1887-11-19,11,228,8,2
HT0110229.pdf,Home Tidings,1887-11-26,11,229,8,2
HT0110230.pdf,Home Tidings,1887-12-03,11,230,8,2
HT0110231.pdf,Home Tidings,1887-12-10,11,231,8,2
HT0110232.pdf,Home Tidings,1887-12-17,11,232,12,2
HT0110233.pdf,Home Tidings,1887-12-24,11,233,12,2
HT0110234.pdf,Home Tidings,1887-12-31,11,234,8,2
HT0120235.pdf,Home Tidings,1888-01-07,12,235,8,2
HT0120236.pdf,Home Tidings,1888-01-14,12,236,12,2
HT0120237.pdf,Home Tidings,1888-01-21,12,237,12,2
HT0120238.pdf,Home Tidings,1888-01-28,12,238,12,2
HT0120239.pdf,Home Tidings,1888-02-04,12,239,12,2
HT0120240.pdf,Polytechnic Magazine,1888-02-16,12,240,16,2
HT0120241.pdf,Polytechnic Magazine,1888-02-23,12,241,16,2
HT0120242.pdf,Polytechnic Magazine,1888-03-01,12,242,16,2
HT0120243.pdf,Polytechnic Magazine,1888-03-08,12,243,16,2
HT0120244.pdf,Polytechnic Magazine,1888-03-15,12,244,16,2
HT0120245.pdf,Polytechnic Magazine,1888-03-22,12,245,16,2
HT0120246.pdf,Polytechnic Magazine,1888-03-29,12,246,16,2
HT0120247.pdf,Polytechnic Magazine,1888-04-05,12,247,16,2
HT0120248.pdf,Polytechnic Magazine,1888-04-12,12,248,16,2
HT0120249.pdf,Polytechnic Magazine,1888-04-19,12,249,16,2
HT0120250.pdf,Polytechnic Magazine,1888-04-26,12,250,16,2
HT0120251.pdf,Polytechnic Magazine,1888-05-03,12,251,20,2
HT0120252.pdf,Polytechnic Magazine,1888-05-10,12,252,16,2
HT0120253.pdf,Polytechnic Magazine,1888-05-17,12,253,16,2
HT0120254.pdf,Polytechnic Magazine,1888-05-24,12,254,16,2
HT0120255.pdf,Polytechnic Magazine,1888-05-31,12,255,16,2
HT0120256.pdf,Polytechnic Magazine,1888-06-07,12,256,16,2
HT0120257.pdf,Polytechnic Magazine,1888-06-14,12,257,16,2
HT0120258.pdf,Polytechnic Magazine,1888-06-21,12,258,16,2
HT0120259.pdf,Polytechnic Magazine,1888-06-28,12,259,16,2
HT0130260.pdf,Polytechnic Magazine,1888-07-05,13,260,16,2
HT0130261.pdf,Polytechnic Magazine,1888-07-12,13,261,16,2
HT0130262.pdf,Polytechnic Magazine,1888-07-19,13,262,16,2
HT0130263.pdf,Polytechnic Magazine,1888-07-26,13,263,16,2
HT0130264.pdf,Polytechnic Magazine,1888-08-02,13,264,16,2
HT0130265.pdf,Polytechnic Magazine,1888-08-09,13,265,16,2
HT0130266.pdf,Polytechnic Magazine,1888-08-16,13,266,16,2
